id,title,content,tags
1,what is the right approach to write the spin controller for a soccer robot ,imagine programming a   wheel soccer robot  what type of controller would you use for spinning it  p  pid  the goal for this controller is that it should make the robot stand in a defined angle     degree   and turn back if rotated by hand or other robot   i use stepper motors for my robot and not servos so i need to implement this in my software  i have written a sample p type controller already and the movement is fairly good  but i would like to make it better if possible  the code is as follows   correction is a range   in which robot has no movement   degree is a number between      and     which is returned from the compass  motorspeed is a number between   and     which is applied to the pwm  ,soccer control
2,how can i modify a low cost hobby servo to run  freely  ,i ve got some hobby servos  power hd     mgs  and i d like to be able to control them  via an arduino  so they will either go to the angle i set  or put them in a  free running  mode  where the load will take them wherever it goes  is this even possible  or am i just going to end up stripping the gears  my first thought is to simply kill the power to the servo  but the force required to move them in that state is more than i d like  if it is possible  am i looking at a hardware change  or could i do it in software  ,control rcservo
3,what useful gaits exist for a six legged robot  and what are their pros and cons , lists three gaits   the tripod wave  and ripple   can these be improved  or can their relative pros and cons be altered  and are there other gaits worth considering  ,gait walk
4,good microcontrollers socs for a robotics project,i am looking for a starting point for my project  preferably using popular systems  ones there is a lot of support for   i have an arduino uno  a raspberry pi  and a lot of willpower    anyone here built a project using the systems above  observation  i d like to start with a simple line following vehicle and build up afterwards  ,microcontroller arduino raspberry-pi
5,nearest neighbor data structure for non euclidean configuration space,i m trying to implement a nearest neighbor structure for use in an rrt motion planner  in order to do better than a linear brute force nearest neighbor search  i d like to implement something like a kd tree  however  it seems like the classical implementation of the kd tree assumes that each dimension of the space can be split into  left  and  right   this notion doesn t seem to apply to non euclidean spaces like so     for instance  i m working with a serial manipulator arm with fully rotational links  meaning that each dimension of the robot s configuration space is so     and therefore non euclidean  can the kd tree algorithm be modified to handle these kinds of subspaces  if not  is there another nearest neighbor structure that can handle these non euclidean subspaces while still being easy to update and query  i also took a look at flann  but it wasn t clear to me from their documentation whether they can handle non euclidean subspaces  ,motion-planning rrt
6,what good robotics software platforms   operating systems are available ,my company will soon be starting a brand new robotics project  and we are still trying to decide whether we should design and code a robotics software platform from scratch  or if there are any good existing ones  it would be very useful if there was a software platform which was commonly used among both academics and industry so that our robotic system was generally compatible with others  and so that people were already familiar with it  we would like the software platform to be able to   integrate new robotic hardware components easily  already contain a wide array of useful data processing and visualisation tools make efficient use of computing hardware  ,software platform
11,what software do you use to design your pcb in the robotics field ,what is the best software  despite the price  for designing the circuits and pcb boards for robots  i mean having lots of components  different designing methods  best accuracy      i myself use the altium designer which i think answers my needs  but maybe there are better ones in the market i don t know about  ,software circuit
18,what are good methods for tuning the process noise on kalman filters ,most often tuning the kalman filter noise matrices is done by trial and error or domain knowledge  are there more principled ways for tuning all the kalman filter parameters  ,odometry localization kalman-filter
19,keyboard control map for scalar based movement ,i m working with a wild thumper   wheel chasis that is designed for use with an rc controller  however i d like to have a mapping to a keyboard for control as well  can you suggest a set of keys and behaviors that you ve used to deal with the continuous value control normally offered by a joystick or pair of joysticks  the standard wasd keys   an accelerate decelerate pair  i d also take a pointer to a videogame that you think does this well  ,untagged
20,ideas for shooting the ball in a soccer robot,what is the best option to use for the shooting system of a soccer robot  i have already implemented a solenoid based system for shooting and it works perfectly   however  i d like some other methods to check if they are better than mine   ,soccer mechanism
